Network_Reward,tls_1,tls_2,tls_3,tls_4
-2544.0,-636.0,-636.0,-636.0,-636.0
-2479.5,-619.875,-619.875,-619.875,-619.875
-2602.5,-650.625,-650.625,-650.625,-650.625
-2549.5,-637.375,-637.375,-637.375,-637.375
-2614.0,-653.5,-653.5,-653.5,-653.5
-2488.0,-622.0,-622.0,-622.0,-622.0
-2626.5,-656.625,-656.625,-656.625,-656.625
-2460.5,-615.125,-615.125,-615.125,-615.125
-2627.0,-656.75,-656.75,-656.75,-656.75
-2466.0,-616.5,-616.5,-616.5,-616.5
-2627.5,-656.875,-656.875,-656.875,-656.875
-2575.0,-643.75,-643.75,-643.75,-643.75
-2585.5,-646.375,-646.375,-646.375,-646.375
-2705.5,-676.375,-676.375,-676.375,-676.375
-2575.0,-643.75,-643.75,-643.75,-643.75
-2560.5,-640.125,-640.125,-640.125,-640.125
-2616.5,-654.125,-654.125,-654.125,-654.125
-2655.0,-663.75,-663.75,-663.75,-663.75
-2605.0,-651.25,-651.25,-651.25,-651.25
-2587.0,-646.75,-646.75,-646.75,-646.75
-2733.0,-683.25,-683.25,-683.25,-683.25
-2750.0,-687.5,-687.5,-687.5,-687.5
-2569.0,-642.25,-642.25,-642.25,-642.25
-2567.5,-641.875,-641.875,-641.875,-641.875
-2691.5,-672.875,-672.875,-672.875,-672.875
-2662.0,-665.5,-665.5,-665.5,-665.5
-2559.0,-639.75,-639.75,-639.75,-639.75
-2503.5,-625.875,-625.875,-625.875,-625.875
-2568.5,-642.125,-642.125,-642.125,-642.125
-2514.0,-628.5,-628.5,-628.5,-628.5
-2630.5,-657.625,-657.625,-657.625,-657.625
-2519.0,-629.75,-629.75,-629.75,-629.75
-2395.0,-598.75,-598.75,-598.75,-598.75
-2488.0,-622.0,-622.0,-622.0,-622.0
-2792.0,-698.0,-698.0,-698.0,-698.0
-2568.5,-642.125,-642.125,-642.125,-642.125
-2690.0,-672.5,-672.5,-672.5,-672.5
-2533.5,-633.375,-633.375,-633.375,-633.375
-2450.0,-612.5,-612.5,-612.5,-612.5
-2707.0,-676.75,-676.75,-676.75,-676.75
-2667.5,-666.875,-666.875,-666.875,-666.875
-2704.0,-676.0,-676.0,-676.0,-676.0
-2644.0,-661.0,-661.0,-661.0,-661.0
-2597.0,-649.25,-649.25,-649.25,-649.25
-2581.0,-645.25,-645.25,-645.25,-645.25
-2579.5,-644.875,-644.875,-644.875,-644.875
-2669.5,-667.375,-667.375,-667.375,-667.375
-2740.5,-685.125,-685.125,-685.125,-685.125
-2542.5,-635.625,-635.625,-635.625,-635.625
-2583.5,-645.875,-645.875,-645.875,-645.875
-2564.0,-641.0,-641.0,-641.0,-641.0
-2605.0,-651.25,-651.25,-651.25,-651.25
-2667.5,-666.875,-666.875,-666.875,-666.875
-2652.5,-663.125,-663.125,-663.125,-663.125
-2564.0,-641.0,-641.0,-641.0,-641.0
-2572.0,-643.0,-643.0,-643.0,-643.0
-2575.0,-643.75,-643.75,-643.75,-643.75
-2483.5,-620.875,-620.875,-620.875,-620.875
-2446.0,-611.5,-611.5,-611.5,-611.5
-2435.5,-608.875,-608.875,-608.875,-608.875
-2605.0,-651.25,-651.25,-651.25,-651.25
-2635.5,-658.875,-658.875,-658.875,-658.875
-2542.5,-635.625,-635.625,-635.625,-635.625
-2511.5,-627.875,-627.875,-627.875,-627.875
-2686.0,-671.5,-671.5,-671.5,-671.5
-2536.5,-634.125,-634.125,-634.125,-634.125
-2711.5,-677.875,-677.875,-677.875,-677.875
-2538.5,-634.625,-634.625,-634.625,-634.625
-2440.0,-610.0,-610.0,-610.0,-610.0
-2578.5,-644.625,-644.625,-644.625,-644.625
-2443.5,-610.875,-610.875,-610.875,-610.875
-2492.0,-623.0,-623.0,-623.0,-623.0
-2409.0,-602.25,-602.25,-602.25,-602.25
-2513.0,-628.25,-628.25,-628.25,-628.25
-2437.5,-609.375,-609.375,-609.375,-609.375
-2401.5,-600.375,-600.375,-600.375,-600.375
-2485.0,-621.25,-621.25,-621.25,-621.25
-2426.5,-606.625,-606.625,-606.625,-606.625
-2350.0,-587.5,-587.5,-587.5,-587.5
-2479.5,-619.875,-619.875,-619.875,-619.875
-2582.0,-645.5,-645.5,-645.5,-645.5
-2519.0,-629.75,-629.75,-629.75,-629.75
-2503.5,-625.875,-625.875,-625.875,-625.875
-2496.0,-624.0,-624.0,-624.0,-624.0
-2704.0,-676.0,-676.0,-676.0,-676.0
-2640.0,-660.0,-660.0,-660.0,-660.0
-2549.0,-637.25,-637.25,-637.25,-637.25
-2301.5,-575.375,-575.375,-575.375,-575.375
-2373.5,-593.375,-593.375,-593.375,-593.375
-2549.0,-637.25,-637.25,-637.25,-637.25
