Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-1672.0,-821.5,-850.5,-205.375,-205.375,-205.375,-205.375,-212.625,-212.625,-212.625,-212.625
-1621.0,-822.5,-798.5,-205.625,-205.625,-205.625,-205.625,-199.625,-199.625,-199.625,-199.625
-1851.5,-1073.0,-778.5,-268.25,-268.25,-268.25,-268.25,-194.625,-194.625,-194.625,-194.625
-1648.5,-874.5,-774.0,-218.625,-218.625,-218.625,-218.625,-193.5,-193.5,-193.5,-193.5
-1433.5,-775.0,-658.5,-193.75,-193.75,-193.75,-193.75,-164.625,-164.625,-164.625,-164.625
-1617.5,-874.0,-743.5,-218.5,-218.5,-218.5,-218.5,-185.875,-185.875,-185.875,-185.875
-1756.5,-869.0,-887.5,-217.25,-217.25,-217.25,-217.25,-221.875,-221.875,-221.875,-221.875
-1578.0,-728.0,-850.0,-182.0,-182.0,-182.0,-182.0,-212.5,-212.5,-212.5,-212.5
-1705.5,-801.0,-904.5,-200.25,-200.25,-200.25,-200.25,-226.125,-226.125,-226.125,-226.125
-1835.0,-913.5,-921.5,-228.375,-228.375,-228.375,-228.375,-230.375,-230.375,-230.375,-230.375
-1661.0,-873.5,-787.5,-218.375,-218.375,-218.375,-218.375,-196.875,-196.875,-196.875,-196.875
-1677.0,-815.5,-861.5,-203.875,-203.875,-203.875,-203.875,-215.375,-215.375,-215.375,-215.375
-1697.5,-872.5,-825.0,-218.125,-218.125,-218.125,-218.125,-206.25,-206.25,-206.25,-206.25
-1807.0,-854.5,-952.5,-213.625,-213.625,-213.625,-213.625,-238.125,-238.125,-238.125,-238.125
-1586.5,-748.5,-838.0,-187.125,-187.125,-187.125,-187.125,-209.5,-209.5,-209.5,-209.5
-1779.5,-881.0,-898.5,-220.25,-220.25,-220.25,-220.25,-224.625,-224.625,-224.625,-224.625
-1729.0,-887.0,-842.0,-221.75,-221.75,-221.75,-221.75,-210.5,-210.5,-210.5,-210.5
-1695.0,-850.5,-844.5,-212.625,-212.625,-212.625,-212.625,-211.125,-211.125,-211.125,-211.125
-1553.0,-829.0,-724.0,-207.25,-207.25,-207.25,-207.25,-181.0,-181.0,-181.0,-181.0
-1712.5,-824.0,-888.5,-206.0,-206.0,-206.0,-206.0,-222.125,-222.125,-222.125,-222.125
-1671.5,-918.0,-753.5,-229.5,-229.5,-229.5,-229.5,-188.375,-188.375,-188.375,-188.375
