Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-4902.0,-2886.5,-2015.5,6.780364288886388,5.805374407105976,-693.5,-634.5,-903.0,-655.5,-407.5,-634.0,-404.0,-570.0
-4150.5,-2363.0,-1787.5,6.669287831915749,5.969282882081138,-774.0,-463.5,-632.5,-493.0,-437.5,-505.0,-370.0,-475.0
-4993.0,-2849.0,-2144.0,6.982245013448927,5.362012164460288,-976.0,-473.5,-635.0,-764.5,-633.5,-578.5,-457.0,-475.0
-4334.0,-2166.0,-2168.0,6.827722973293728,5.483484315872192,-635.0,-306.5,-805.5,-419.0,-788.5,-538.0,-412.0,-429.5
-4493.5,-2529.0,-1964.5,6.519297230243683,5.7748010602262285,-724.0,-427.0,-600.0,-778.0,-537.0,-547.0,-425.0,-455.5
-3943.5,-1874.5,-2069.0,6.806813013222483,5.887192834417025,-562.5,-395.0,-411.0,-506.0,-517.0,-736.0,-357.5,-458.5
-4412.5,-2233.5,-2179.0,6.300246108240551,5.913143334786097,-744.5,-427.5,-415.0,-646.5,-587.0,-755.5,-365.0,-471.5
-3711.5,-1925.5,-1786.0,6.234697755177816,5.2052109741502335,-639.5,-301.5,-548.5,-436.0,-481.0,-554.5,-418.0,-332.5
-4258.5,-2237.0,-2021.5,6.265812829467985,5.4355168528027,-615.5,-553.5,-475.0,-593.0,-608.5,-553.5,-504.5,-355.0
-4162.0,-2074.5,-2087.5,6.082118056880104,5.236928355693817,-499.0,-479.0,-454.5,-642.0,-423.0,-690.5,-407.0,-567.0
-4127.0,-2070.0,-2057.0,6.136261479059855,5.38799313571718,-497.0,-498.0,-546.0,-529.0,-436.5,-685.5,-542.0,-393.0
-3797.5,-1940.5,-1857.0,5.766641346282429,5.226762451728185,-421.5,-478.5,-544.5,-496.0,-432.0,-467.5,-574.5,-383.0
-4183.0,-2287.0,-1896.0,5.804415893554688,4.999037829041481,-535.0,-510.5,-542.5,-699.0,-432.0,-501.5,-592.5,-370.0
-3621.0,-1784.5,-1836.5,5.877138351069556,5.192783617642191,-448.0,-382.0,-460.5,-494.0,-414.0,-446.0,-429.0,-547.5
-4023.5,-1938.0,-2085.5,5.85997290942404,4.88071186542511,-561.0,-403.0,-470.0,-504.0,-595.0,-675.5,-400.0,-415.0
-4520.0,-2371.0,-2149.0,5.399759077694681,5.035723062356313,-671.0,-456.5,-518.5,-725.0,-483.0,-555.5,-638.5,-472.0
-4092.0,-2204.0,-1888.0,5.358477650086085,4.955764553944269,-680.0,-379.5,-586.5,-558.0,-610.0,-418.5,-426.5,-433.0
-4063.0,-2170.0,-1893.0,5.633901341756185,4.72476113140583,-719.5,-433.0,-578.0,-439.5,-443.0,-538.0,-404.0,-508.0
-3903.0,-2146.0,-1757.0,5.523414246241251,4.798008423381382,-506.5,-643.5,-492.5,-503.5,-415.5,-470.5,-398.5,-472.5
-4211.0,-2208.0,-2003.0,5.455592210756408,4.521354029575984,-682.5,-601.5,-405.5,-518.5,-633.5,-525.5,-442.5,-401.5
-4093.0,-2099.5,-1993.5,5.376566552122434,4.692706019348568,-546.0,-511.0,-545.5,-497.0,-519.0,-449.5,-657.5,-367.5
-4052.5,-2217.5,-1835.0,5.330062113536728,4.647820097870297,-579.5,-550.0,-643.0,-445.0,-464.0,-473.0,-483.0,-415.0
-4503.5,-1949.5,-2554.0,5.3095109995868475,4.565024732549985,-526.5,-367.5,-580.0,-475.5,-844.5,-640.0,-559.0,-510.5
-4671.5,-2464.5,-2207.0,5.187971924410926,4.4409584432840346,-609.5,-421.5,-878.5,-555.0,-567.5,-662.5,-445.0,-532.0
-3609.5,-1863.0,-1746.5,5.1656302952104145,4.595881443553501,-552.0,-352.0,-533.0,-426.0,-464.0,-494.0,-345.5,-443.0
-3907.0,-2145.0,-1762.0,5.079886315928565,4.413596023784743,-733.5,-417.0,-533.5,-461.0,-516.5,-401.5,-417.5,-426.5
-3606.0,-1828.0,-1778.0,5.1173662695619795,4.4543107410271965,-577.5,-383.0,-470.0,-397.5,-539.0,-480.5,-336.5,-422.0
-4207.5,-2271.0,-1936.5,4.9809950189458,4.382919870813688,-785.0,-386.5,-485.0,-614.5,-604.0,-469.0,-483.5,-380.0
-3954.5,-2268.5,-1686.0,5.042698627710342,4.3219203309880365,-862.0,-275.5,-605.5,-525.5,-459.0,-465.0,-389.5,-372.5
-4215.5,-2126.0,-2089.5,4.964331700404485,4.3561769031816056,-695.0,-364.5,-655.0,-411.5,-398.0,-643.0,-561.0,-487.5
-3749.0,-2182.0,-1567.0,5.027133808533351,4.2550252046849995,-805.5,-499.0,-394.5,-483.0,-517.5,-288.0,-360.0,-401.5
-3656.0,-1930.0,-1726.0,4.821179663472705,4.331907992892795,-502.0,-433.5,-488.0,-506.5,-517.0,-526.5,-357.0,-325.5
-3847.0,-1866.5,-1980.5,4.739936473965645,4.044498215781318,-612.5,-365.5,-446.0,-442.5,-562.0,-488.5,-421.0,-509.0
-3704.0,-1953.5,-1750.5,4.643718125091659,4.036258181267314,-546.5,-465.0,-459.5,-482.5,-568.0,-475.0,-281.0,-426.5
-3865.5,-1891.0,-1974.5,4.563020397557152,4.126676714751455,-609.0,-360.5,-460.5,-461.0,-563.5,-652.5,-342.0,-416.5
-3883.5,-2177.0,-1706.5,4.835174308551682,4.0239997718069285,-610.0,-453.5,-638.5,-475.0,-492.5,-411.0,-337.0,-466.0
